scope,methods,w_rouge,w_minicheck,w_redundancy,avg_rouge1,avg_rouge2,avg_rougel,avg_minicheck,avg_factcc,avg_fact_mean,note
explicit_weight_final,mmr+lns,0.0,0.5,0.5,42.34,20.28,29.88,95.62,79.06,87.34,beam5
explicit_weight_final,mmr+lns,0.0,0.3,0.7,42.71,20.33,30.11,95.39,79.77,87.58,beam5; selected
explicit_weight_final,mmr+lns,0.0,0.2,0.8,42.55,20.43,30.28,94.82,79.29,87.06,beam5
intermediate_check,ilp+lns,0.0,0.4,0.6,42.41,20.32,29.98,95.31,79.36,87.33,beam5
intermediate_check,ilp+lns,0.0,0.3,0.7,42.40,20.28,30.25,95.28,80.51,87.89,beam5
intermediate_check,ilp+lns,0.0,0.2,0.8,42.37,20.39,30.27,94.79,79.47,87.13,beam5
mbr_search,mbr,0.2,0.8,0.0,39.40,18.30,28.57,96.67,,,
mbr_search,mbr,0.3,0.7,0.0,39.18,18.42,28.64,96.45,,,
mbr_search,mbr,0.4,0.6,0.0,39.52,18.78,29.03,96.42,,,beam5; adopted_for_fulltest
